Generation,Population,Orders,Trades,Positions,Fees (USDT),RealizedProfits (USDT),ROI,Price Interval for JMA etc.,Hard Exit Now,Soft Exit Now,dca_gap_modifier (0.5x - 1.5x),max_dca_orders,above_this_adx_means_trending (ex: 25),jma_percent_tp_offset (ex: 0.10),jma_period_length,tp_percent_offset,rsi RSI Length,rsi SMA Length,rsi Buy Level,rsi Sell Level
1,11,183,169,56,1.76126216,9.939737839999,270.4%,2,False,False,1,10,25,0.1,9,0.22,23,6,45,55
1,10,219,204,72,2.07804936,9.3703506399988,274.8565%,2,False,False,1,10,25,0.1,9,0.16,23,6,45,55
1,9,261,247,93,2.44730684,8.1900931599994,261.2078%,2,False,False,1,10,25,0.1,9,0.12,23,6,45,55
1,8,147,130,41,1.34712424,10.1020757600002,270.5621%,2,False,False,1,10,25,0.1,8,0.32,23,6,45,55
1,7,191,177,59,1.8362714,10.7485285999992,295.9903%,2,False,False,1,10,25,0.1,8,0.22,23,6,45,55
1,6,231,216,76,2.20131444,10.6662855599996,311.8999%,2,False,False,1,10,25,0.1,8,0.16,23,6,45,55
1,5,282,268,101,2.65646012,8.6879398800002,277.0154%,2,False,False,1,10,25,0.1,8,0.12,23,6,45,55
1,4,150,136,44,1.3955078,10.6282922000004,293.861%,2,False,False,1,10,25,0.1,7,0.32,23,6,45,55
1,3,191,180,61,1.85130032,10.57229968,298.3934%,2,False,False,1,10,25,0.1,7,0.22,23,6,45,55
1,2,225,211,75,2.13710284,10.0146971600002,298.2246%,2,False,False,1,10,25,0.1,7,0.16,23,6,45,55
1,1,268,257,98,2.524822,8.8899780000002,290.1079%,2,False,False,1,10,25,0.1,7,0.12,23,6,45,55
