Generation,Population,Orders,Trades,Positions,Fees (USDT),RealizedProfits (USDT),ROI,Price Interval for JMA etc.,Hard Exit Now,Soft Exit Now,dca_gap_modifier (0.5x - 1.5x),above_this_adx_means_trending (ex: 25),jma_percent_tp_offset (ex: 0.10),jma_period_length,tp_percent_offset,rsi RSI Length,rsi SMA Length,rsi Buy Level,rsi Sell Level
8,95,427,407,140,4.46504228,1.6517577200012,42.0224%,1,False,False,0.9,20,0.13,18,0.26,8,3,30,55
8,94,306,287,104,3.00611728,0.2502827200006,7.0751%,1,False,False,1.2,22,0.16,16,0.26,6,3,30,55
8,93,498,464,163,5.05556948,-3.2929694799998,-85.9815%,1,False,False,1.1,22,0.09,15,0.23,14,3,30,55
8,92,409,383,141,4.04181268,4.6099873200006,130.6957%,1,False,False,1.2,18,0.13,19,0.26,8,3,30,55
8,91,419,393,144,4.16239512,4.7620048800006,133.8205%,1,False,False,1.2,20,0.13,19,0.26,8,3,30,55
8,90,511,478,166,5.256578,-7.516178,-192.1126%,1,False,False,1.1,18,0.08,17,0.24,14,3,30,55
8,89,368,347,125,3.68616196,3.06563804,84.6047%,1,False,False,1.2,22,0.13,15,0.24,8,3,30,55
8,88,355,329,115,3.54841504,4.3067849599998,113.6631%,1,False,False,1.2,24,0.13,15,0.26,8,3,30,55
8,87,507,485,169,5.31121624,-0.9806162399996,-25.2559%,1,False,False,0.9,20,0.11,16,0.22,10,3,30,55
8,86,544,518,175,5.78929508,-4.9640950799998,-121.3348%,1,False,False,1,18,0.08,17,0.22,14,3,30,55
8,85,472,438,156,4.73245108,-3.1170510800006,-83.2851%,1,False,False,1.1,18,0.11,19,0.26,12,3,30,55
8,84,343,323,107,3.584758,-5.5217580000002,-134.1048%,1,False,False,1,24,0.14,17,0.24,18,3,30,55
8,83,377,362,122,4.00584736,-7.6376473599996,-188.9503%,1,False,False,0.9,20,0.14,18,0.22,16,3,30,55
8,82,586,555,194,6.11252692,-4.1623269200012,-106.7609%,1,False,False,1.1,20,0.08,19,0.23,10,3,30,55
8,81,527,502,180,5.42223488,-3.0028348799998,-80.6621%,1,False,False,1,20,0.1,17,0.27,6,3,30,55
8,80,472,448,165,4.7595124,2.1372876000002,60.0656%,1,False,False,1.2,18,0.11,18,0.24,8,3,30,55
8,79,466,444,154,4.8567388,-2.1845387999992,-56.1266%,1,False,False,0.9,20,0.12,18,0.24,10,3,30,55
8,78,568,539,189,5.92644608,-0.9208460800004,-23.7426%,1,False,False,1.1,20,0.08,18,0.26,8,3,30,55
8,77,419,393,144,4.16239512,4.7620048800006,133.8205%,1,False,False,1.2,20,0.13,19,0.26,8,3,30,55
8,76,475,456,160,4.9919962,-8.6557961999996,-224.6078%,1,False,False,1.1,22,0.09,17,0.22,16,3,30,55
8,75,321,304,104,3.29268072,0.3827192800006,9.8603%,1,False,False,0.9,22,0.16,15,0.22,14,3,30,55
8,74,400,380,127,4.21577016,4.4844298400016,109.6883%,1,False,False,0.9,24,0.13,17,0.26,8,3,30,55
8,73,408,389,135,4.2287494,3.6820506000008,95.4397%,1,False,False,1,24,0.13,16,0.22,10,3,30,55
8,72,475,440,151,4.87492148,-12.5503214799988,-314.8363%,1,False,False,1.1,16,0.08,18,0.25,16,3,30,55
8,71,305,287,99,3.1096252,-1.8652251999998,-48.4604%,1,False,False,1.1,24,0.16,17,0.23,18,3,30,55
8,70,466,443,149,4.93380424,4.09079576,100.0859%,1,False,False,0.9,24,0.11,19,0.26,8,3,30,55
8,69,567,552,199,5.95162324,-1.0118232400008,-27.3473%,1,False,False,1.1,22,0.09,15,0.22,6,3,30,55
8,68,433,402,144,4.31325156,-4.7514515600004,-128.7467%,1,False,False,1.1,16,0.12,18,0.25,12,3,30,55
8,67,311,288,98,3.13986644,-5.3518664400002,-136.2746%,1,False,False,1,16,0.15,15,0.24,18,3,30,55
